Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5000,184,107,323,449,1836,8,2250,50.000%,233.57937,55.43,52.01
TOTAL,5000,184,107,323,449,1836,8,2250,50.000%,233.57937,55.43,52.01
