Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5000,20291,21946,30838,31808,33903,16,35249,29.860%,85.37814,20.36,19.01
TOTAL,5000,20291,21946,30838,31808,33903,16,35249,29.860%,85.37814,20.36,19.01
