Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,2000,19,18,38,45,64,3,120,4.200%,99.82531,23.98,22.23
TOTAL,2000,19,18,38,45,64,3,120,4.200%,99.82531,23.98,22.23
