Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,3000,10966,12301,15648,16009,18768,15,22228,46.200%,78.88924,18.74,17.57
TOTAL,3000,10966,12301,15648,16009,18768,15,22228,46.200%,78.88924,18.74,17.57
