Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,2000,6201,6352,9486,10349,12801,66,18017,31.250%,66.33279,15.81,14.77
TOTAL,2000,6201,6352,9486,10349,12801,66,18017,31.250%,66.33279,15.81,14.77
