Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,1600,2658,2380,5515,6296,8074,11,14749,34.500%,66.77796,15.91,14.87
TOTAL,1600,2658,2380,5515,6296,8074,11,14749,34.500%,66.77796,15.91,14.87
