Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,3000,766,660,1634,1866,2206,6,2831,8.933%,143.91941,34.50,32.04
TOTAL,3000,766,660,1634,1866,2206,6,2831,8.933%,143.91941,34.50,32.04
