Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,600,22,23,41,49,115,4,181,0.000%,29.90729,7.16,7.36
TOTAL,600,22,23,41,49,115,4,181,0.000%,29.90729,7.16,7.36
