Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,4000,806,623,1901,2225,2658,9,3398,49.950%,184.75751,43.84,41.14
TOTAL,4000,806,623,1901,2225,2658,9,3398,49.950%,184.75751,43.84,41.14
