Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,600,176,29,302,1228,2848,4,3230,0.167%,29.90580,7.18,6.66
TOTAL,600,176,29,302,1228,2848,4,3230,0.167%,29.90580,7.18,6.66
