Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,4000,14455,16320,20772,21380,22367,23,23944,48.150%,87.62322,20.80,19.51
TOTAL,4000,14455,16320,20772,21380,22367,23,23944,48.150%,87.62322,20.80,19.51
