Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,1000,16,19,30,36,54,3,208,0.100%,50.01500,12.02,11.14
TOTAL,1000,16,19,30,36,54,3,208,0.100%,50.01500,12.02,11.14
