Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,6000,26182,27356,39208,41096,50871,21,54559,37.617%,84.37395,20.08,18.79
TOTAL,6000,26182,27356,39208,41096,50871,21,54559,37.617%,84.37395,20.08,18.79
