Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,1500,112,33,357,517,764,12,1223,0.000%,76.64401,14.89,19.54
TOTAL,1500,112,33,357,517,764,12,1223,0.000%,76.64401,14.89,19.54
