Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,800,32,28,52,62,84,14,133,0.000%,39.76341,7.73,10.14
TOTAL,800,32,28,52,62,84,14,133,0.000%,39.76341,7.73,10.14
