Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,3000,1856,1751,3447,3819,4496,43,5318,0.000%,137.36893,26.70,35.01
TOTAL,3000,1856,1751,3447,3819,4496,43,5318,0.000%,137.36893,26.70,35.01
