Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,3500,4193,4860,6055,6451,7357,137,8306,0.000%,133.57759,25.96,34.05
TOTAL,3500,4193,4860,6055,6451,7357,137,8306,0.000%,133.57759,25.96,34.05
