Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,2500,2553,2649,3758,4157,4816,38,6384,0.000%,112.74466,21.91,28.74
TOTAL,2500,2553,2649,3758,4157,4816,38,6384,0.000%,112.74466,21.91,28.74
