Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,4000,6036,6890,9316,9640,10153,43,11437,0.000%,133.51580,25.95,34.03
TOTAL,4000,6036,6890,9316,9640,10153,43,11437,0.000%,133.51580,25.95,34.03
