Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,300,19,18,24,26,30,14,65,0.000%,14.95364,2.91,3.81
TOTAL,300,19,18,24,26,30,14,65,0.000%,14.95364,2.91,3.81
