Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,500,17,17,23,25,36,12,93,0.000%,25.02753,4.86,6.38
TOTAL,500,17,17,23,25,36,12,93,0.000%,25.02753,4.86,6.38
