Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5000,7758,7324,13550,14223,14745,66,15692,8.760%,147.64506,59.40,34.34
TOTAL,5000,7758,7324,13550,14223,14745,66,15692,8.760%,147.64506,59.40,34.34
