Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,4500,8827,8679,14470,14882,15314,38,16457,0.000%,135.71795,26.37,34.59
TOTAL,4500,8827,8679,14470,14882,15314,38,16457,0.000%,135.71795,26.37,34.59
