Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,1000,29,24,54,66,87,11,115,0.000%,50.00500,9.72,12.75
TOTAL,1000,29,24,54,66,87,11,115,0.000%,50.00500,9.72,12.75
