Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,600,216335,2286,634701,636774,639079,14,640358,16.167%,.91764,0.19,0.25
TOTAL,600,216335,2286,634701,636774,639079,14,640358,16.167%,.91764,0.19,0.25
