Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,1000,194918,261373,310707,310792,310885,181,310931,100.000%,1.70977,0.26,0.44
TOTAL,1000,194918,261373,310707,310792,310885,181,310931,100.000%,1.70977,0.26,0.44
