Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,300,97,92,126,148,203,58,455,0.000%,14.92834,2.70,4.91
TOTAL,300,97,92,126,148,203,58,455,0.000%,14.92834,2.70,4.91
