Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,800,50231,72625,83183,86055,90727,3945,92341,6.750%,8.60169,2.45,2.71
TOTAL,800,50231,72625,83183,86055,90727,3945,92341,6.750%,8.60169,2.45,2.71
