Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,500,669,100,1115,3155,15117,55,15157,0.000%,17.81769,3.22,5.86
TOTAL,500,669,100,1115,3155,15117,55,15157,0.000%,17.81769,3.22,5.86
