Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,7000,86,36,230,294,454,5,573,0.000%,333.15882,56.61,50.10
TOTAL,7000,86,36,230,294,454,5,573,0.000%,333.15882,56.61,50.10
