Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,6000,49,16,151,235,398,6,487,0.000%,330.05116,56.08,49.64
TOTAL,6000,49,16,151,235,398,6,487,0.000%,330.05116,56.08,49.64
