Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,4000,12,8,13,27,121,5,197,0.000%,199.90005,33.97,30.06
TOTAL,4000,12,8,13,27,121,5,197,0.000%,199.90005,33.97,30.06
