Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,1200,8,8,10,11,15,6,24,0.000%,58.85238,10.00,8.85
TOTAL,1200,8,8,10,11,15,6,24,0.000%,58.85238,10.00,8.85
