Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,4500,112,23,368,500,813,6,1069,0.000%,249.90282,42.46,37.58
TOTAL,4500,112,23,368,500,813,6,1069,0.000%,249.90282,42.46,37.58
