Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,3000,8,8,11,13,29,5,53,0.000%,142.82314,24.27,21.48
TOTAL,3000,8,8,11,13,29,5,53,0.000%,142.82314,24.27,21.48
