Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,2000,8,8,10,12,16,5,27,0.000%,100.01500,16.99,15.04
TOTAL,2000,8,8,10,12,16,5,27,0.000%,100.01500,16.99,15.04
