Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,1500,8,8,11,13,19,6,30,0.000%,76.95465,13.08,11.57
TOTAL,1500,8,8,11,13,19,6,30,0.000%,76.95465,13.08,11.57
