Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,2500,8,8,12,14,21,5,37,0.000%,124.95002,21.23,18.79
TOTAL,2500,8,8,12,14,21,5,37,0.000%,124.95002,21.23,18.79
