Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,1000,7,7,10,10,13,5,18,0.000%,50.03502,8.50,7.52
TOTAL,1000,7,7,10,10,13,5,18,0.000%,50.03502,8.50,7.52
