Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,500,8,7,10,12,16,5,26,0.000%,25.04383,4.26,3.77
TOTAL,500,8,7,10,12,16,5,26,0.000%,25.04383,4.26,3.77
