Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5500,10,9,13,16,32,5,92,0.000%,249.93184,42.47,37.59
TOTAL,5500,10,9,13,16,32,5,92,0.000%,249.93184,42.47,37.59
