Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,8000,52,23,115,241,392,6,656,0.000%,332.93104,56.57,50.07
TOTAL,8000,52,23,115,241,392,6,656,0.000%,332.93104,56.57,50.07
