Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,9000,2402,2298,3825,4340,6078,9,6878,18.300%,426.56050,259.71,52.41
TOTAL,9000,2402,2298,3825,4340,6078,9,6878,18.300%,426.56050,259.71,52.41
