Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,3500,11,8,16,30,72,5,128,0.000%,166.61113,28.31,25.06
TOTAL,3500,11,8,16,30,72,5,128,0.000%,166.61113,28.31,25.06
