Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,10000,7122,4507,16832,23235,26599,22,29225,46.120%,223.96918,281.30,18.15
TOTAL,10000,7122,4507,16832,23235,26599,22,29225,46.120%,223.96918,281.30,18.15
