Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5000,95,24,297,416,634,6,919,0.000%,248.37316,42.20,37.35
TOTAL,5000,95,24,297,416,634,6,919,0.000%,248.37316,42.20,37.35
