Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,800,9,8,12,17,26,6,30,0.000%,40.00600,6.80,6.02
TOTAL,800,9,8,12,17,26,6,30,0.000%,40.00600,6.80,6.02
